y_unc,cb_oof
12.9,13.153481873890996
14.3,15.061704982643278
16.0,15.561959946062416
5.9,6.4893591611180454
15.2,15.04727119681047
11.6,11.596909624611726
6.1,9.623778377834242
11.5,11.487176050955895
13.9,13.07744937366806
13.8,14.637125102250138
13.3,13.931155284069973
14.1,13.644620085455244
19.9,17.898381119477563
13.8,13.605300822036952
14.2,14.609005467325915
12.7,12.75669824014767
11.5,10.95931758210645
12.6,12.755277521238895
6.1,7.624909557343926
14.2,13.891045205589762
14.9,14.718128176609753
13.9,13.409400992008159
15.2,15.20977315502023
12.8,12.940020562062273
14.6,14.861427997879218
15.0,14.80544033832848
15.4,15.236621813077363
14.4,14.497889003305318
16.2,15.46599414645425
14.1,14.123006399182486
14.6,14.44836056191707
15.0,14.928934429699439
10.4,10.226408289163373
15.2,15.721161317429505
13.7,14.563174386541505
14.8,14.290683764460482
10.1,10.254652252304368
10.9,11.175920951471198
10.2,10.441738156834617
17.1,17.4859857881238
12.1,11.410514268092811
14.2,13.965803020168096
13.6,13.980512695387006
16.3,15.864753507110436
11.9,12.931759279454127
11.6,11.817274789209478
8.8,9.363659328233553
17.7,17.345616032078397
12.8,13.369048619590103
15.7,15.680221024282218
15.1,15.08390459464863
14.8,14.802410574051464
14.3,14.575877176248468
9.8,10.158155593031552
19.2,17.43283188174246
11.2,10.118995237280615
17.1,17.37206502718618
15.2,17.092400509747677
15.9,15.521077071309264
7.1,8.014763526734896
12.6,12.85201527114259
12.7,12.83838950021891
10.1,12.688329779455671
13.2,13.491647897957591
16.5,16.18869901623475
14.7,13.574275561288232
15.0,15.685647491569398
14.8,14.810576080315514
18.1,17.41623773460742
14.5,14.05480437958613
14.2,14.386526937238159
17.1,17.08378074900247
15.9,15.14692291233223
16.5,14.54534980255994
13.1,13.609999200478342
12.5,12.850094388675643
14.8,14.455970860552043
14.3,13.862901699380018
14.0,13.884250508772311
12.5,13.878070845268667
14.1,13.00719802081585
13.2,14.066609351779334
9.9,10.014615292689996
12.3,11.857023307908094
13.2,13.41041229502298
16.8,17.08637603689931
15.3,15.092849263892276
17.7,17.792003244212538
10.2,9.916424851922784
15.4,15.740040793665685
19.5,19.24653679013136
15.2,14.87098708209669
15.2,15.247245528211351
15.7,15.259047722211108
17.4,16.674186208547326
14.8,14.99437225573638
16.6,16.73465557131567
11.0,12.02220007005235
14.5,14.559486628131708
14.2,14.783444522909122
17.3,18.11403157870518
16.7,16.72740755137056
19.1,18.956298027769662
10.7,10.60969618868512
12.8,12.826407759537688
15.0,14.969102369839675
16.2,16.29843068674927
11.0,12.75083981564967
12.8,12.29918540815197
15.2,15.69749481639883
