y_unc,xgb_oof
14.6,14.709500312805176
12.9,13.927010536193848
14.0,14.068832397460938
16.2,15.395231246948242
13.7,14.537440299987793
13.6,14.417556762695312
14.3,14.752751350402832
18.4,16.955839157104492
12.4,13.74490737915039
11.7,13.479034423828125
19.5,16.72518539428711
16.0,15.14333724975586
15.9,15.377037048339844
19.3,16.850543975830078
18.6,16.546039581298828
18.3,15.382682800292969
19.8,16.889572143554688
13.2,15.180753707885742
19.8,16.822174072265625
13.3,13.993443489074707
19.0,16.871173858642578
6.1,13.523646354675293
14.0,14.662569999694824
13.5,14.578492164611816
14.8,14.872079849243164
14.8,15.277166366577148
17.6,16.703266143798828
19.0,16.96291160583496
17.6,16.186416625976562
14.6,15.874568939208984
8.1,12.281572341918945
14.6,14.806774139404297
14.1,15.104034423828125
15.2,15.33267593383789
14.3,14.536693572998047
11.8,13.744248390197754
15.0,15.07645034790039
13.2,14.084029197692871
12.1,14.007305145263672
12.6,14.065292358398438
14.2,14.48405647277832
10.9,13.230447769165039
11.9,14.251211166381836
14.1,14.138714790344238
15.3,14.916386604309082
17.0,15.468603134155273
15.4,15.108633041381836
13.8,14.158424377441406
18.2,16.668333053588867
12.4,14.266804695129395
15.3,15.456424713134766
13.2,16.078269958496094
16.7,15.54127311706543
19.5,16.800682067871094
17.8,16.209077835083008
15.2,15.330892562866211
13.3,15.32758617401123
19.6,16.682296752929688
13.9,14.433037757873535
14.3,14.810032844543457
6.4,11.933460235595703
18.9,16.510921478271484
15.9,15.303384780883789
13.5,14.383585929870605
16.0,15.5499849319458
14.3,14.601759910583496
16.7,15.296236991882324
15.0,14.775221824645996
16.9,16.17918586730957
11.3,13.512153625488281
19.0,16.913286209106445
15.0,14.855487823486328
15.4,14.863568305969238
16.6,15.834427833557129
19.4,16.6674861907959
18.7,16.554515838623047
15.6,14.772583961486816
16.0,15.424942970275879
14.8,14.981529235839844
16.4,14.987587928771973
14.0,14.712871551513672
16.0,15.264595031738281
13.6,13.337455749511719
16.4,15.988670349121094
16.8,15.242070198059082
15.6,14.976408958435059
19.5,16.318559646606445
11.6,13.824179649353027
19.7,16.182111740112305
19.3,16.66722869873047
15.0,15.490147590637207
16.1,14.716165542602539
13.8,14.787832260131836
16.5,15.290464401245117
16.8,15.90953254699707
15.4,15.032981872558594
5.0,12.009703636169434
13.2,13.288249015808105
18.1,16.402502059936523
15.3,14.731679916381836
13.8,13.963369369506836
16.8,15.485608100891113
15.6,15.068731307983398
15.5,15.199776649475098
19.6,16.702041625976562
15.3,15.060750007629395
15.9,14.88964557647705
18.5,16.53887176513672
15.4,15.202104568481445
15.3,15.245413780212402
15.6,14.746638298034668
16.7,15.519172668457031
15.0,14.682784080505371
17.3,14.980112075805664
16.8,15.630446434020996
9.8,12.617019653320312
15.0,14.84829330444336
19.0,15.6353178024292
13.4,14.292447090148926
17.1,16.36774444580078
14.0,14.495296478271484
14.6,14.756326675415039
13.2,14.311858177185059
17.2,16.121170043945312
11.8,13.814915657043457
14.0,14.384391784667969
15.7,15.606470108032227
16.1,14.771553993225098
14.7,15.117429733276367
14.7,14.807880401611328
15.9,14.359892845153809
14.5,14.653423309326172
12.4,13.924874305725098
15.4,15.265328407287598
13.7,14.895621299743652
15.0,14.888043403625488
16.1,15.192503929138184
16.0,14.594554901123047
19.2,16.706209182739258
13.3,14.098919868469238
14.6,15.135330200195312
14.3,14.62908935546875
13.4,13.5411376953125
13.7,13.724042892456055
11.5,13.895489692687988
14.8,14.554950714111328
18.3,16.355443954467773
12.7,13.978389739990234
13.9,14.682842254638672
12.8,14.13219928741455
14.5,14.581865310668945
13.9,14.555782318115234
14.2,14.283197402954102
14.2,14.458334922790527
14.5,14.421248435974121
12.9,14.72729206085205
15.5,15.690837860107422
18.8,16.671634674072266
19.7,17.023515701293945
19.7,16.68052864074707
14.6,14.654019355773926
15.1,14.798683166503906
14.8,14.482234954833984
14.2,14.686437606811523
13.9,15.397211074829102
14.5,14.493297576904297
15.0,14.72654914855957
18.1,16.430171966552734
12.6,14.642868995666504
9.9,12.65233039855957
15.5,15.072807312011719
6.0,10.954194068908691
15.5,15.559289932250977
13.3,14.005879402160645
10.5,14.81984806060791
12.4,13.926593780517578
15.3,14.835244178771973
16.6,15.610533714294434
14.6,14.699159622192383
14.4,14.373788833618164
14.8,14.857536315917969
14.4,14.541522979736328
16.1,15.108914375305176
13.6,14.212104797363281
7.7,12.13076400756836
5.3,13.815347671508789
14.7,15.085119247436523
14.5,14.59121322631836
14.8,14.902235984802246
13.9,15.074287414550781
14.5,14.682927131652832
15.0,14.897819519042969
12.6,13.983528137207031
17.9,15.845414161682129
15.4,14.849787712097168
13.2,14.933341026306152
10.7,13.325494766235352
8.0,13.79951286315918
18.7,16.69101333618164
17.4,16.03124237060547
17.3,16.30654525756836
11.7,14.281034469604492
18.5,15.394166946411133
13.4,14.688786506652832
14.7,15.231313705444336
15.1,15.134754180908203
12.8,13.868040084838867
15.1,15.086437225341797
16.7,15.727607727050781
14.0,14.518855094909668
8.8,12.754448890686035
15.7,15.16842269897461
18.4,14.721511840820312
13.5,13.734881401062012
16.3,15.591814041137695
13.2,13.687902450561523
13.8,14.025928497314453
14.5,14.655289649963379
15.6,15.209490776062012
13.0,14.094683647155762
18.1,15.63379955291748
15.5,14.650386810302734
5.6,11.12060546875
10.8,13.468433380126953
12.9,14.038359642028809
