,s_tilde
Berru01,16.52749470089828
Bible01,15.858539131995691
Birbi01,14.649826049804688
Brabr01,18.255953927100744
Braca01,18.663931038817246
Brali01,6.960141067640041
Brane01,18.72657523229508
Brane02,18.887836329176707
Brapr01,16.04692797271894
Braps01,12.906504186655608
Breke01,13.108096019475228
Calae01,17.48061773126227
Calae02,6.023902070845816
Calal01,18.619907634218666
Calau01,14.683978565719503
Calba01,16.785863227008516
Calbi01,6.713833247457892
Calfa01,8.130959767432039
Calfo01,18.786709149109114
Calfo02,6.136847279023153
Calhy01,17.60421795190083
Calla01,17.27734375
Calla02,18.110209702892647
Calla03,17.62397483826205
Calle01,14.8082526990252
Calmi01,17.633722679220103
Calpa01,7.060557382002091
Calpu01,6.789424427802973
Calsc01,14.08962361157492
Calsi01,18.596109691273778
Caltr01,17.375974616977278
Calve01,10.73854159768625
Calwe01,9.858090836212973
Camcy01,19.339748556086356
Camhi01,12.17109862781586
Capcr01,14.52950180491968
Catad01,5.549459299351939
Cavpa01,19.645206127687445
Cenre01,11.665977478027344
Cergr01,8.468074352646402
Chaal01,14.955972326186199
Chabe01,10.912827837594142
Chafa01,16.820880412592892
Chamu01,18.54236349002459
Chare01,8.793868226730229
Charh01,12.623905487051507
Chasc01,13.753105164302701
Chath01,19.441630659358733
Clico01,14.217893851901719
Cliin01,17.222827021612844
Cocbr01,4.538417565472119
Cocca01,15.501557727343068
Coccl01,14.55004557972023
Cocco01,5.417308012648641
Cocde01,2.281705293345809
Cocdi01,18.039751259343216
Cocdi02,13.36480483070092
Coceu01,14.948925347245886
Cocgr01,9.895019488972082
Cochu01,12.16202323635312
Cochu02,12.444587707519531
Cocin01,6.176351945713054
Cocla01,5.0173749457685455
Cocle01,17.8909860970121
Cocli01,19.999999981606802
Cocme01,11.352105907456524
Cocne01,9.24303020309045
Cocne02,15.509963149860592
Cocne03,13.895337480872124
Cocpa01,19.45471172328898
Cocpe01,14.906261331044467
Cocpl01,19.970750889614482
Cocps01,10.124684178020603
Cocps02,17.621462019122887
Cocre01,19.92597133980746
Cocro01,18.656290364625196
Cocsc01,6.190330029830856
Cocse01,10.261220597229077
Cocsu01,10.930125612583117
Conwe01,3.043159850228479
Cosco01,6.572674949022685
Cosla01,1.4493379917610414
Cosla02,5.472949004487544
Craac01,6.609031961667975
Craac02,12.090965289355017
Craha01,11.90631359720417
Crari01,12.267090873097493
Crasu01,1.0656440253201664
Crasv01,16.41117713613516
Cravi01,6.705348727108717
Crazi01,14.498966505266077
Creru01,5.921134196085247
Creth01,16.698725473567645
Ctepu01,17.293769009327015
Cycat01,6.751198592339102
Cycbo01,7.640007097344726
Cycco01,16.068247284386363
Cyccy01,18.740258427364616
Cycde01,8.004244887391108
Cycde02,12.080255476246391
Cycdi01,19.301953605543154
Cycdu01,6.92870977824868
Cycex01,11.457687377929688
Cycgl01,5.875155670411234
Cycir01,18.02379825728631
Cyckr01,4.874204713971296
Cycku01,6.5663173612508325
Cycme01,8.18373466911194
Cycme02,15.738885521637918
Cycmi01,12.020599233728257
Cycop01,13.26829450686518
Cycpl01,9.701042921067724
Cycpl02,3.1093257892466535
Cycps01,12.460719323191585
Cycsc01,18.79581080010414
Cycsc02,7.163780351200331
Cycst01,14.829572503876717
Cycst02,6.1111717702916675
Cycst03,19.959984026887767
