SamplingOperations_code,IBD_pred
S02070250_20210729,5.90836164041569
S02070370_20200723,15.290140534630973
S02070500_20180824,13.8700986912958
S02070750_20080731,14.134519716832928
S02070750_20160817,13.43982603397427
S02070750_20180829,14.249071640547836
S02070900_20160811,15.570629008599365
S02070900_20210730,15.204659786763322
S02071050_20120719,14.239726782469967
S02071050_20160811,12.730227288347843
S02072400_20160811,10.698314619675466
S02072600_20080731,13.061068882603111
S02072700_20130711,11.323500225427562
S02072700_20160810,11.750969613412469
S02073700_20210813,12.380031932704025
S02074000_20160811,13.271742570910845
S02075300_20090729,13.321112873264724
S02076180_20090803,16.106535850489664
S02076180_20100729,11.459885452434676
S02076180_20140924,16.260965285704785
S02076180_20160727,13.08697373752086
S02076180_20210729,18.556096278155255
S02076195_20170727,15.295004737266746
S02076800_20120725,10.78078543914326
S02076800_20150817,11.411621312519602
S02076800_20160727,12.868944194755386
S02076800_20180828,11.700855186233882
S02076800_20200707,12.675071022077844
S02077200_20160726,15.754582206266885
S02078000_20140724,14.8832760038049
S02078000_20160726,14.862906946145852
S02078900_20160726,15.254445443773015
S02079000_20070831,7.770628010075581
S02079000_20080808,7.387522339161777
S02079000_20160902,12.793985255105824
S02081000_20110823,13.216973101662612
S02081000_20160817,13.05551421754798
S02081030_20210811,10.283325897934706
S02081100_20160817,14.878615621105654
S02081300_20160817,13.353096447421773
S02081300_20170718,11.590357747895782
S02081300_20210811,14.276003361245996
S02081620_20180829,14.256403695866625
S02081620_20210811,13.794063545572392
S02082000_20160816,15.080229197029075
S02082000_20210818,13.508451407371068
S02082160_20170717,14.59991122746462
S02082160_20200803,12.518370473046717
S02082330_20160718,14.225025963276655
S02082350_20080829,8.590423576697141
S02082350_20160902,14.70485544400722
S02082350_20200707,13.506590366481316
S02082710_20160718,15.538280652954958
S02082878_20170724,14.827141897416789
S02082900_20160729,14.88069422189494
S02082970_20080814,14.499490007983939
S02084000_20160729,13.98599172963251
S02084900_20090805,3.867283617842375
S02085325_20070831,10.429407000855928
S02085325_20160727,13.05820514559108
S02085325_20200721,14.048801955708193
S02085325_20210818,14.53354184400435
S02085600_20070831,8.571976709223868
S02085600_20110801,8.463396468875217
S02085600_20160726,11.410566192907002
S02085600_20170726,13.29804600459213
S02085600_20180828,12.846793571035322
S02085600_20190801,13.163596834138438
S02086500_20160728,18.529573461014554
S02088000_20070903,12.303459160371712
S02088000_20160728,13.773656039659317
S02089000_20100812,13.282350870100583
S02089000_20141001,14.145464987640494
S02089000_20160728,14.14894071113754
S02089900_20160729,10.088909384272924
S02090000_20090730,10.09278632922919
S02090000_20170725,12.381350234135226
S02092000_20160729,10.814062890302154
S02093100_20080729,12.702727619715649
S02093100_20100803,11.684011575486943
S02093100_20160901,13.603698275869196
S02093600_20160901,14.662896146989302
S02094000_20120724,11.123282967180693
S02094000_20160901,15.162050444849486
S02094500_20160831,14.48840217398423
S02094700_20150813,14.815863384622899
S02094700_20160831,14.172928301353513
S02094700_20190731,13.964770566465996
S02094800_20120726,12.658374142593757
S02094800_20141003,15.028407159726004
S02094800_20160831,14.940472782383086
S02094900_20160831,12.923202581712863
S02094920_20070821,14.90509836545559
S02094950_20160830,10.23415763797937
S02094970_20100903,15.338109948685878
S02094970_20160810,16.589953529890856
S02094973_20160810,19.000905892068108
S02094979_20120719,19.69884553991699
S02094979_20160810,19.549924849339515
S02094979_20180824,19.536126903712805
S02095500_20100923,10.753270542156212
S02095500_20160810,13.349622040401885
S02095600_20160809,12.684343918216419
S02096000_20160810,12.810254198036116
S02096000_20210730,11.645767535856768
S02096500_20160811,15.140135026904
S02096500_20170719,14.40287028662241
S02096750_20160811,17.35858345982932
S02096750_20200702,14.221459456284416
S02096750_20210811,13.958419175048055
S02096900_20100903,13.783887524338615
S02096900_20160811,13.705573692402034
S02096950_20170718,14.045226850374835
S02097000_20140930,13.045286179131786
S02097000_20160811,12.900188171548333
S02097000_20190726,13.650608985584174
S02098200_20160811,14.247397891649126
S02098800_20110718,9.746404795767695
S02098800_20160811,13.41714481597871
S02098800_20170719,7.771115450659396
S02098900_20160811,14.948499233093417
S02099500_20160811,12.871784700304785
S02099500_20190725,12.474574712318606
S02099500_20200701,14.133248905202498
S02099550_20100922,14.662937548202887
S02100100_20210817,14.427113318534975
S02100600_20090701,11.112411613737262
S02100603_20170811,13.105088694061664
S02102000_20170719,8.207833738191876
S02103950_20090729,14.480173556551721
S02104000_20160816,12.897510443823247
S02104000_20210819,13.080402557620978
S02104400_20160816,14.43025129207045
S02104400_20180821,14.940982602962398
S02104400_20200707,14.775680509607133
S02104800_20180828,14.469804139334013
S02105000_20120716,14.373646630386121
S02105000_20160901,14.30096612884811
S02106220_20190812,14.92523090318836
S02106230_20150821,14.977941375153627
S02106410_20100809,13.320386809839444
S02106410_20150818,14.571773828015033
S02106410_20160901,14.931186012046634
S02106410_20180718,14.47017710517306
S02106430_20070801,15.057262303017096
S02106430_20160901,15.062983039118807
S02106430_20200709,15.6276361097125
S02106500_20090727,12.450673234468184
S02106500_20190702,14.020887508298543
S02106600_20080730,7.7422580723307615
S02106600_20110725,15.68221661694643
S02106600_20120803,10.671273949877907
S02106600_20160729,14.09859677224982
S02106750_20090727,13.531184715246907
S02106750_20160728,12.141732571001628
S02106815_20090826,14.500189779197946
S02106850_20110725,15.624178226256202
S02106850_20180724,14.350348178768087
S02106850_20200715,14.197818560723665
S02106900_20160728,14.695616423627074
S02107000_20120802,15.300088978134427
S02107000_20160728,15.059505439252279
S02107000_20180726,15.830255954091177
S02107400_20090826,18.327490955826633
S02107400_20160824,16.657577787693924
S02107845_20160817,15.92831768282978
S02107870_20080723,16.70334071999028
