region,SamplingOperations_code,y_true,oof_pred,yhat_te,y_filled,proba_Bad,proba_Good,proba_High,proba_Moderate,proba_Poor
1,S05180550_20090625,High,High,,High,,,,,
1,S05180550_20100630,High,High,,High,,,,,
1,S05180550_20110811,Good,Good,,Good,,,,,
1,S05180550_20120827,High,High,,High,,,,,
1,S05180550_20140723,High,High,,High,,,,,
1,S05180550_20150722,High,High,,High,,,,,
1,S05180550_20160915,High,High,,High,,,,,
1,S05180550_20170725,High,High,,High,,,,,
1,S05180550_20180920,High,High,,High,,,,,
1,S05180550_20190719,Good,Good,,Good,,,,,
1,S05180550_20200819,High,High,,High,,,,,
1,S05180550_20210902,Good,Good,,Good,,,,,
1,S05180550_20220906,Moderate,High,,Moderate,,,,,
1,S05180660_20210902,High,High,,High,,,,,
1,S05180660_20220915,High,High,,High,,,,,
1,S05180700_20070711,High,High,,High,,,,,
1,S05180700_20130911,High,High,,High,,,,,
1,S05180700_20150722,High,High,,High,,,,,
1,S05180700_20160817,High,High,,High,,,,,
1,S05180700_20170726,High,High,,High,,,,,
1,S05180700_20180816,High,High,,High,,,,,
1,S05180700_20190723,High,High,,High,,,,,
1,S05180700_20200820,High,High,,High,,,,,
1,S05180700_20210831,High,High,,High,,,,,
1,S05180700_20220826,High,High,,High,,,,,
1,S05180800_20070808,High,High,,High,,,,,
1,S05180800_20080908,High,High,,High,,,,,
1,S05180800_20090702,High,High,,High,,,,,
1,S05180800_20110816,High,High,,High,,,,,
1,S05180800_20120727,High,High,,High,,,,,
1,S05180800_20130911,High,High,,High,,,,,
1,S05180800_20140722,High,High,,High,,,,,
1,S05180800_20150824,High,High,,High,,,,,
1,S05180800_20160913,High,High,,High,,,,,
1,S05180800_20170920,High,High,,High,,,,,
1,S05180800_20180918,Good,Good,,Good,,,,,
1,S05180800_20190924,High,High,,High,,,,,
1,S05180800_20200819,High,High,,High,,,,,
1,S05180800_20210902,High,High,,High,,,,,
1,S05180800_20220907,High,High,,High,,,,,
1,S05180820_20140722,High,High,,High,,,,,
1,S05180820_20150722,High,High,,High,,,,,
1,S05180820_20170725,High,High,,High,,,,,
1,S05180820_20180918,High,High,,High,,,,,
1,S05180820_20190718,High,High,,High,,,,,
1,S05180820_20200820,High,High,,High,,,,,
1,S05180820_20210902,High,High,,High,,,,,
1,S05180820_20221005,High,High,,High,,,,,
1,S05180850_20070711,High,High,,High,,,,,
1,S05180850_20120910,High,High,,High,,,,,
1,S05180850_20130911,High,High,,High,,,,,
1,S05180850_20140722,High,High,,High,,,,,
1,S05180850_20150824,High,High,,High,,,,,
1,S05180850_20160817,High,High,,High,,,,,
1,S05180850_20170725,High,High,,High,,,,,
1,S05180850_20200820,High,High,,High,,,,,
1,S05180850_20210928,High,High,,High,,,,,
1,S05180850_20220826,High,High,,High,,,,,
1,S05181000_20080801,High,High,,High,,,,,
1,S05181000_20090626,High,High,,High,,,,,
1,S05181000_20100630,High,High,,High,,,,,
1,S05181000_20110824,Moderate,Moderate,,Moderate,,,,,
1,S05181000_20130912,High,High,,High,,,,,
1,S05181000_20140820,High,High,,High,,,,,
1,S05181000_20150824,High,High,,High,,,,,
1,S05181000_20161004,Moderate,Moderate,,Moderate,,,,,
1,S05181000_20170904,Good,Good,,Good,,,,,
1,S05181000_20180809,High,High,,High,,,,,
1,S05181000_20190905,Moderate,Moderate,,Moderate,,,,,
1,S05181000_20210707,High,High,,High,,,,,
1,S05181000_20220818,Good,Good,,Good,,,,,
