IBD_pred,SamplingOperations_code
16.07831559516162,S02077200_20160726
14.989345663065624,S02078000_20140724
14.726549900343379,S02078000_20160726
15.367748215053435,S02078900_20160726
11.881934768006294,S02079000_20070831
9.804541174678494,S02079000_20080808
13.006817925086107,S02079000_20160902
12.990070485324354,S02081000_20110823
13.413796067093896,S02081000_20160817
10.602923318913106,S02081030_20210811
15.081259964763014,S02081100_20160817
13.283907723125932,S02081300_20160817
11.295384703910944,S02081300_20170718
14.451975627631088,S02081300_20210811
14.17058553169646,S02081620_20180829
13.312153747812635,S02081620_20210811
14.980006415121347,S02082000_20160816
13.490956998206153,S02082000_20210818
14.448897874268145,S02082160_20170717
12.198200024321972,S02082160_20200803
14.081311583190644,S02082330_20160718
9.477861370096115,S02082350_20080829
14.759583248150943,S02082350_20160902
14.181936351228359,S02082350_20200707
15.6112780595821,S02082710_20160718
14.682217088512582,S02082878_20170724
14.838947024104012,S02082900_20160729
14.538949308860621,S02082970_20080814
13.984231092547377,S02084000_20160729
4.928702916965658,S02084900_20090805
10.141191718463194,S02085325_20070831
13.217626322910192,S02085325_20160727
14.086698232420964,S02085325_20200721
14.57698968023535,S02085325_20210818
8.160487652941892,S02085600_20070831
8.428081525745597,S02085600_20110801
11.016303456117253,S02085600_20160726
12.977511080281545,S02085600_20170726
12.637785491633544,S02085600_20180828
12.914582520330713,S02085600_20190801
18.775269386813164,S02086500_20160728
11.96417011918616,S02088000_20070903
13.799566414865312,S02088000_20160728
13.286459371484057,S02089000_20100812
14.155496138913477,S02089000_20141001
14.417377843837922,S02089000_20160728
10.376667952568592,S02089900_20160729
10.42886742374311,S02090000_20090730
12.185267304353344,S02090000_20170725
10.92243705319245,S02092000_20160729
12.782558892331933,S02093100_20080729
11.343520803509161,S02093100_20100803
13.849914624432454,S02093100_20160901
14.730167167735162,S02093600_20160901
10.832053217512165,S02094000_20120724
15.187170743895175,S02094000_20160901
14.49434657420887,S02094500_20160831
14.821413641795113,S02094700_20150813
14.221656713528759,S02094700_20160831
14.036528892231624,S02094700_20190731
12.206921718305079,S02094800_20120726
14.967415006340737,S02094800_20141003
14.775127842716602,S02094800_20160831
13.23148503003108,S02094900_20160831
14.904696190045698,S02094920_20070821
10.632788977944406,S02094950_20160830
15.495798495047413,S02094970_20100903
16.604051506614077,S02094970_20160810
18.61201935311515,S02094973_20160810
19.44435255571456,S02094979_20120719
19.032884822620915,S02094979_20160810
19.77118943949218,S02094979_20180824
10.774621622520568,S02095500_20100923
13.19386626240367,S02095500_20160810
12.801226606361219,S02095600_20160809
13.060234985411324,S02096000_20160810
11.611033942060658,S02096000_20210730
15.086261558566447,S02096500_20160811
14.535893575314718,S02096500_20170719
17.362307854854183,S02096750_20160811
14.576616285093653,S02096750_20200702
14.42939781248966,S02096750_20210811
13.923210852448888,S02096900_20100903
13.737605180750453,S02096900_20160811
13.945140352186371,S02096950_20170718
13.086143032863792,S02097000_20140930
12.886103650073935,S02097000_20160811
13.76272839761569,S02097000_20190726
14.1850563324946,S02098200_20160811
9.756410453516933,S02098800_20110718
13.38495301322793,S02098800_20160811
6.777985683395336,S02098800_20170719
15.033914327038557,S02098900_20160811
12.73030743931303,S02099500_20160811
12.513858971409253,S02099500_20190725
14.153463304804344,S02099500_20200701
14.53797814927334,S02099550_20100922
14.45618509468481,S02100100_20210817
11.271014206141775,S02100600_20090701
13.238608596307957,S02100603_20170811
8.956511922371643,S02102000_20170719
14.394603944952035,S02103950_20090729
12.626617412858383,S02104000_20160816
12.938140435690128,S02104000_20210819
14.354310091606102,S02104400_20160816
14.862696267982543,S02104400_20180821
14.816060774760661,S02104400_20200707
14.831892255353104,S02104800_20180828
14.216326157416455,S02105000_20120716
14.436372565537098,S02105000_20160901
14.993941931270644,S02106220_20190812
15.041718239659604,S02106230_20150821
13.431907815479342,S02106410_20100809
14.76704691963251,S02106410_20150818
15.053736159450107,S02106410_20160901
14.43733585269043,S02106410_20180718
15.1562913231744,S02106430_20070801
15.279635115721163,S02106430_20160901
15.670740690890465,S02106430_20200709
12.437977583434044,S02106500_20090727
14.027878337666179,S02106500_20190702
7.6073775687167675,S02106600_20080730
15.712281304560044,S02106600_20110725
10.47819833532073,S02106600_20120803
14.07587475593984,S02106600_20160729
13.194581115169132,S02106750_20090727
11.959150764507848,S02106750_20160728
14.629792384306633,S02106815_20090826
15.691386377887937,S02106850_20110725
14.478819393308758,S02106850_20180724
14.470507082313542,S02106850_20200715
14.856417651412336,S02106900_20160728
15.174480973022632,S02107000_20120802
15.00769096896682,S02107000_20160728
15.703103494703548,S02107000_20180726
18.307301559929712,S02107400_20090826
16.710976885221182,S02107400_20160824
15.933241306777328,S02107845_20160817
16.36059090263232,S02107870_20080723
19.470533441623456,S02107890_20150609
17.207472466083008,S02107890_20160727
19.940568539550675,S02107900_20130711
20.240308082893083,S02107900_20140722
20.004883324592274,S02107900_20160727
16.76609322045307,S02108700_20080909
17.20541612128446,S02109000_20080909
16.61873113355645,S02109000_20200709
16.32536450503604,S02110600_20070904
15.838370320654978,S02111000_20160727
15.916630087163794,S02111000_20210708
14.316852840610537,S02111500_20200724
15.000534543342265,S02111500_20210708
15.771340608047502,S02112000_20160727
15.71227519844036,S02112050_20200724
16.77039171223468,S02112150_20160817
15.96303801239472,S02112150_20200917
15.891422487897799,S02112170_20170823
14.70806589752077,S02113000_20160831
14.595989489199589,S02114000_20180822
15.569432690391759,S02114500_20160831
14.437718089194037,S02115000_20090804
7.067550766627011,S02115200_20110802
10.797276040166931,S02115200_20141002
18.596951733891714,S02115625_20130710
16.00206444295766,S02115625_20160726
10.838312630698347,S02115650_20110804
14.456658664521038,S02115650_20160830
18.96746707034854,S02115660_20070730
8.869949260901787,S02115670_20200721
13.778431951468534,S02115675_20070802
14.667609113009517,S02115675_20160728
14.381880790281883,S02115675_20180823
16.232252093344318,S02115685_20070802
14.837263631083351,S02115685_20170824
16.38420913035387,S02115725_20070730
16.50794795054522,S02115725_20080729
16.470785184216098,S02115725_20160830
15.16768676976057,S02115725_20170824
